2025-05-13 16:01:36,817 INFO    MainThread:1558637 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_setup.py:_flush():70] Configure stats pid to 1558637
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_setup.py:_flush():70] Loading settings from /home/lianniello/.config/wandb/settings
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_setup.py:_flush():70] Loading settings from /home/lianniello/xirl_thesis/xirl_conda/wandb/settings
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /home/lianniello/xirl_thesis/xirl_conda/wandb/run-20250513_160136-dlqrbkqe/logs/debug.log
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /home/lianniello/xirl_thesis/xirl_conda/wandb/run-20250513_160136-dlqrbkqe/logs/debug-internal.log
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_init.py:init():852] calling init triggers
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_init.py:init():893] starting backend
2025-05-13 16:01:36,818 INFO    MainThread:1558637 [wandb_init.py:init():897] sending inform_init request
2025-05-13 16:01:36,850 INFO    MainThread:1558637 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-13 16:01:36,850 INFO    MainThread:1558637 [wandb_init.py:init():907] backend started and connected
2025-05-13 16:01:36,854 INFO    MainThread:1558637 [wandb_init.py:init():1005] updated telemetry
2025-05-13 16:01:36,875 INFO    MainThread:1558637 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-13 16:01:37,395 INFO    MainThread:1558637 [wandb_init.py:init():1104] starting run threads in backend
2025-05-13 16:01:37,535 INFO    MainThread:1558637 [wandb_run.py:_console_start():2573] atexit reg
2025-05-13 16:01:37,536 INFO    MainThread:1558637 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-13 16:01:37,536 INFO    MainThread:1558637 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-13 16:01:37,536 INFO    MainThread:1558637 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-13 16:01:37,538 INFO    MainThread:1558637 [wandb_init.py:init():1150] run started, returning control to user process
